x-axis,F1
Hertz,dBV
+297.0000E+00,-65.41798E+00
+297.5000E+00,-64.69299E+00
+298.0000E+00,-63.96800E+00
+298.5000E+00,-63.94116E+00
+299.0000E+00,-63.94833E+00
+299.5000E+00,-63.95550E+00
+300.0000E+00,-63.96267E+00
+300.5000E+00,-64.02928E+00
+301.0000E+00,-64.35747E+00
+301.5000E+00,-64.68566E+00
+302.0000E+00,-65.01386E+00
+302.5000E+00,-65.34205E+00
+303.0000E+00,-65.91054E+00
+303.5000E+00,-66.81524E+00
+304.0000E+00,-67.71994E+00
+304.5000E+00,-68.62465E+00
+305.0000E+00,-69.52935E+00
+305.5000E+00,-71.10934E+00
+306.0000E+00,-73.05546E+00
+306.5000E+00,-75.00157E+00
+307.0000E+00,-76.94768E+00
+307.5000E+00,-78.89379E+00
+308.0000E+00,-79.71928E+00
+308.5000E+00,-80.39205E+00
+309.0000E+00,-81.06481E+00
+309.5000E+00,-81.73758E+00
+310.0000E+00,-82.24405E+00
+310.5000E+00,-81.42792E+00
+311.0000E+00,-80.61179E+00
+311.5000E+00,-79.79566E+00
+312.0000E+00,-78.97954E+00
+312.5000E+00,-78.39280E+00
+313.0000E+00,-78.24483E+00
+313.5000E+00,-78.09687E+00
+314.0000E+00,-77.94890E+00
+314.5000E+00,-77.80093E+00
+315.0000E+00,-77.69712E+00
+315.5000E+00,-77.62595E+00
+316.0000E+00,-77.55478E+00
+316.5000E+00,-77.48361E+00
+317.0000E+00,-77.41245E+00
+317.5000E+00,-78.21182E+00
+318.0000E+00,-79.21995E+00
+318.5000E+00,-80.22807E+00
+319.0000E+00,-81.23620E+00
+319.5000E+00,-82.17754E+00
+320.0000E+00,-81.43770E+00
+320.5000E+00,-80.69786E+00
+321.0000E+00,-79.95802E+00
+321.5000E+00,-79.21818E+00
+322.0000E+00,-78.39061E+00
+322.5000E+00,-77.32565E+00
+323.0000E+00,-76.26069E+00
+323.5000E+00,-75.19573E+00
+324.0000E+00,-74.13077E+00
+324.5000E+00,-74.28615E+00
+325.0000E+00,-75.65472E+00
+325.5000E+00,-77.02330E+00
+326.0000E+00,-78.39187E+00
+326.5000E+00,-79.76045E+00
+327.0000E+00,-79.67382E+00
+327.5000E+00,-79.05737E+00
+328.0000E+00,-78.44092E+00
+328.5000E+00,-77.82447E+00
+329.0000E+00,-77.20803E+00
+329.5000E+00,-77.59773E+00
+330.0000E+00,-78.02423E+00
+330.5000E+00,-78.45072E+00
+331.0000E+00,-78.87722E+00
+331.5000E+00,-79.25677E+00
+332.0000E+00,-79.44416E+00
+332.5000E+00,-79.63155E+00
+333.0000E+00,-79.81894E+00
+333.5000E+00,-80.00633E+00
+334.0000E+00,-79.68404E+00
+334.5000E+00,-78.68052E+00
+335.0000E+00,-77.67700E+00
+335.5000E+00,-76.67348E+00
+336.0000E+00,-75.66996E+00
+336.5000E+00,-75.42766E+00
+337.0000E+00,-75.57819E+00
+337.5000E+00,-75.72871E+00
+338.0000E+00,-75.87924E+00
+338.5000E+00,-76.02977E+00
+339.0000E+00,-75.83259E+00
+339.5000E+00,-75.59297E+00
+340.0000E+00,-75.35336E+00
+340.5000E+00,-75.11374E+00
+341.0000E+00,-74.99811E+00
+341.5000E+00,-75.76765E+00
+342.0000E+00,-76.53718E+00
+342.5000E+00,-77.30672E+00
+343.0000E+00,-78.07626E+00
+343.5000E+00,-78.01271E+00
+344.0000E+00,-76.43216E+00
+344.5000E+00,-74.85162E+00
+345.0000E+00,-73.27108E+00
+345.5000E+00,-71.69053E+00
+346.0000E+00,-70.87433E+00
+346.5000E+00,-70.59785E+00
+347.0000E+00,-70.32137E+00
+347.5000E+00,-70.04489E+00
+348.0000E+00,-69.76841E+00
+348.5000E+00,-70.26859E+00
+349.0000E+00,-70.94187E+00
+349.5000E+00,-71.61515E+00
+350.0000E+00,-72.28843E+00
+350.5000E+00,-72.72526E+00
+351.0000E+00,-68.60980E+00
+351.5000E+00,-64.49434E+00
+352.0000E+00,-60.37889E+00
+352.5000E+00,-56.26343E+00
+353.0000E+00,-52.85124E+00
+353.5000E+00,-51.23844E+00
+354.0000E+00,-49.62564E+00
+354.5000E+00,-48.01284E+00
+355.0000E+00,-46.40004E+00
+355.5000E+00,-45.18671E+00
+356.0000E+00,-44.35318E+00
+356.5000E+00,-43.51964E+00
+357.0000E+00,-42.68611E+00
+357.5000E+00,-41.85257E+00
+358.0000E+00,-41.46145E+00
+358.5000E+00,-41.22234E+00
+359.0000E+00,-40.98324E+00
+359.5000E+00,-40.74414E+00
+360.0000E+00,-40.50503E+00
+360.5000E+00,-40.76159E+00
+361.0000E+00,-41.03039E+00
+361.5000E+00,-41.29919E+00
+362.0000E+00,-41.56799E+00
+362.5000E+00,-41.96259E+00
+363.0000E+00,-42.83760E+00
+363.5000E+00,-43.71260E+00
+364.0000E+00,-44.58761E+00
+364.5000E+00,-45.46262E+00
+365.0000E+00,-46.68546E+00
+365.5000E+00,-48.35253E+00
+366.0000E+00,-50.01960E+00
+366.5000E+00,-51.68668E+00
+367.0000E+00,-53.35375E+00
+367.5000E+00,-57.19444E+00
+368.0000E+00,-62.10196E+00
+368.5000E+00,-67.00948E+00
+369.0000E+00,-71.91700E+00
+369.5000E+00,-76.82452E+00
+370.0000E+00,-75.87025E+00
+370.5000E+00,-74.28202E+00
+371.0000E+00,-72.69380E+00
+371.5000E+00,-71.10557E+00
+372.0000E+00,-69.83433E+00
+372.5000E+00,-70.61103E+00
+373.0000E+00,-71.38774E+00
+373.5000E+00,-72.16444E+00
+374.0000E+00,-72.94114E+00
+374.5000E+00,-73.78918E+00
+375.0000E+00,-74.76096E+00
+375.5000E+00,-75.73273E+00
+376.0000E+00,-76.70451E+00
+376.5000E+00,-77.67628E+00
+377.0000E+00,-77.16181E+00
+377.5000E+00,-75.64527E+00
+378.0000E+00,-74.12872E+00
+378.5000E+00,-72.61218E+00
+379.0000E+00,-71.09563E+00
+379.5000E+00,-70.37018E+00
+380.0000E+00,-69.80801E+00
+380.5000E+00,-69.24583E+00
+381.0000E+00,-68.68366E+00
+381.5000E+00,-68.16029E+00
+382.0000E+00,-68.23914E+00
+382.5000E+00,-68.31799E+00
+383.0000E+00,-68.39684E+00
+383.5000E+00,-68.47568E+00
+384.0000E+00,-69.24835E+00
+384.5000E+00,-71.70185E+00
+385.0000E+00,-74.15536E+00
+385.5000E+00,-76.60886E+00
+386.0000E+00,-79.06236E+00
+386.5000E+00,-79.96333E+00
+387.0000E+00,-79.45287E+00
+387.5000E+00,-78.94240E+00
+388.0000E+00,-78.43194E+00
+388.5000E+00,-77.92147E+00
+389.0000E+00,-77.44273E+00
+389.5000E+00,-76.97425E+00
+390.0000E+00,-76.50577E+00
+390.5000E+00,-76.03729E+00
+391.0000E+00,-75.56881E+00
+391.5000E+00,-76.00848E+00
+392.0000E+00,-76.46007E+00
+392.5000E+00,-76.91165E+00
+393.0000E+00,-77.36324E+00
+393.5000E+00,-77.48787E+00
+394.0000E+00,-76.44442E+00
+394.5000E+00,-75.40096E+00
+395.0000E+00,-74.35750E+00
